time;input;xPos;yPos;zPos
052332807;Connect;50;50;0
052333848;TakeOff;50;50;0
052338965;Rise;50;50;80
052341568;Stop;49;50;120
052342368;MoveForward;49;50;140
052344569;Stop;51;62;140
052346170;MoveRight;52;73;140
052347371;Stop;57;73;140
052349572;MoveBackward;62;76;140
052351573;Stop;62;67;140
052353574;MoveRight;62;61;150
052354975;Stop;69;61;140
052356776;MoveBackward;75;61;150
052358576;Stop;75;55;140
052359977;MoveLeft;76;49;150
052401978;Stop;69;49;150
052403178;Land;59;49;140
052409004;StopRecordRepeatNavigationRecording;54;54;0
