time;input;xPos;yPos;zPos
113847970;Connect;50;50;0
113849649;TakeOff;49;50;0
113857653;MoveForward;49;48;80
113901657;Stop;50;59;90
113903058;RotateClockwise;51;64;80
113905460;Stop;51;64;90
113906060;MoveForward;51;64;90
113907661;Stop;48;64;90
113909661;RotateClockwise;44;63;90
113912263;Stop;44;63;90
113912663;MoveForward;44;63;80
113913864;Stop;44;64;80
113915265;RotateClockwise;43;63;80
113918266;Stop;43;63;90
113918666;MoveForward;43;63;90
113920467;Stop;44;60;90
113922468;RotateCounterClockwise;46;57;90
113925470;Stop;46;57;90
113926072;MoveForward;46;57;90
113928273;Stop;44;56;90
113929674;RotateClockwise;42;56;90
113932676;Stop;42;56;90
113933276;MoveForward;42;56;90
113934477;Stop;44;55;90
113936277;RotateClockwise;45;53;90
113938679;Stop;45;53;80
113939480;Land;45;53;90
