time;input;xPos;yPos;zPos
054931710;Connect;50;50;0
054933151;TakeOff;50;50;0
054943151;MoveForward;47;49;70
054946554;Stop;46;57;70
054948754;MoveRight;45;68;70
054949955;Stop;46;68;70
054951956;MoveBackward;51;68;80
054954158;MoveBackward;54;65;80
054956559;Stop;53;52;90
054958360;MoveRight;56;48;90
054959761;Stop;59;48;90
055000962;MoveBackward;65;51;80
055005364;Stop;61;35;90
055006164;MoveLeft;60;30;90
055009766;Stop;39;29;90
055011766;MoveLeft;36;30;90
055012367;Stop;35;30;80
055013367;Land;42;30;90
055018153;StopRecordRepeatNavigationRecording;40;31;0
