time;input;xPos;yPos;zPos;Bearing
053206354;Connect;50;50;0;0
053207003;TakeOff;50;50;0;0
053207519;Unknown;50;50;0;359
053207622;Unknown;49;50;0;359
053207979;Unknown;50;50;0;359
053208999;Unknown;50;50;50;359
053209721;Unknown;50;50;60;359
053209921;Unknown;49;50;60;359
053210021;Unknown;49;50;60;359
053215731;MoveForward;47;52;70;359
053217158;Unknown;47;52;70;359
053217209;Unknown;47;52;70;359
053217362;Unknown;47;52;70;359
053217464;Unknown;47;52;70;359
053217515;Unknown;47;53;70;359
053217617;Unknown;47;53;70;359
053217719;Unknown;47;53;70;359
053217821;Unknown;47;53;70;359
053217923;Unknown;47;54;70;359
053218025;Unknown;47;54;70;359
053218129;Unknown;46;54;70;359
053218229;Unknown;46;55;70;359
053218332;Unknown;46;55;70;359
053218433;Unknown;46;55;70;359
053218535;Unknown;46;56;70;359
053218637;Unknown;46;56;70;359
053218739;Unknown;45;56;70;359
053218841;Unknown;45;57;70;359
053218943;Unknown;45;57;70;359
053219045;Unknown;45;58;70;359
053219147;Unknown;45;60;70;359
053219249;Unknown;45;60;70;359
053219351;Unknown;45;61;70;359
053219453;Unknown;45;61;70;359
053219534;Stop;45;61;70;359
053219555;Unknown;45;61;70;359
053219657;Unknown;45;62;70;359
053219759;Unknown;45;62;70;359
053219861;Unknown;45;63;70;359
053219963;Unknown;45;63;70;359
053220065;Unknown;45;63;70;359
053220167;Unknown;45;65;70;359
053220269;Unknown;45;65;80;359
053220371;Unknown;45;65;80;359
053220575;Unknown;45;65;80;359
053220677;Unknown;45;66;80;359
053220779;Unknown;45;66;80;359
053220886;Unknown;45;66;80;359
053221136;MoveRight;45;66;80;359
053221545;Unknown;45;66;80;359
053221648;Unknown;45;66;80;359
053221748;Unknown;45;66;80;359
053221850;Unknown;45;66;80;359
053221952;Unknown;45;66;80;359
053222054;Unknown;45;66;80;359
053222157;Unknown;46;66;80;359
053222260;Unknown;46;66;80;359
053222361;Unknown;46;66;80;359
053222462;Unknown;46;66;70;359
053222564;Unknown;47;66;70;359
053222666;Unknown;47;66;70;359
053222769;Unknown;47;66;70;359
053222870;Unknown;48;66;70;359
053222972;Unknown;48;66;70;359
053223074;Unknown;49;66;70;359
053223176;Unknown;51;66;70;359
053223279;Unknown;51;66;70;359
053223380;Unknown;51;66;70;359
053223482;Unknown;52;66;70;359
053223537;Stop;52;66;70;359
053223584;Unknown;52;66;70;359
053223687;Unknown;53;66;70;359
053223788;Unknown;53;66;70;359
053223891;Unknown;54;66;70;359
053223992;Unknown;54;66;70;359
053224094;Unknown;55;66;70;359
053224196;Unknown;55;66;70;359
053224298;Unknown;55;66;70;359
053224400;Unknown;55;66;70;359
053224502;Unknown;56;66;70;359
053224604;Unknown;56;66;70;359
053224706;Unknown;56;66;70;359
053224808;Unknown;56;66;70;359
053225138;MoveBackward;56;66;60;359
053225166;Unknown;56;66;60;359
053225676;Unknown;56;66;60;359
053225778;Unknown;56;66;60;359
053225880;Unknown;56;66;60;359
053225981;Unknown;56;66;60;359
053226083;Unknown;56;65;70;359
053226186;Unknown;56;65;70;359
053226287;Unknown;56;65;70;359
053226390;Unknown;56;64;70;359
053226491;Unknown;56;64;70;359
053226594;Unknown;56;63;70;359
053226695;Unknown;56;63;70;359
053226798;Unknown;56;63;70;359
053226900;Unknown;56;62;70;359
053227001;Unknown;55;62;70;359
053227103;Unknown;55;60;70;359
053227139;Stop;55;59;70;359
053227205;Unknown;55;59;70;359
053227307;Unknown;55;59;70;359
053227410;Unknown;55;58;70;359
053227511;Unknown;55;58;70;359
053227614;Unknown;55;57;70;359
053227715;Unknown;55;57;70;359
053227817;Unknown;55;56;70;359
053227919;Unknown;55;56;70;359
053228021;Unknown;55;55;70;359
053228123;Unknown;55;53;70;359
053228225;Unknown;55;53;70;359
053228277;Unknown;55;53;70;359
053228430;Unknown;55;53;70;359
053228540;MoveLeft;55;53;70;359
053228736;Unknown;55;53;70;359
053228789;Unknown;55;52;70;359
053229096;Unknown;54;52;70;359
053229195;Unknown;52;52;70;359
053229296;Unknown;52;52;70;359
053229412;Unknown;52;52;70;359
053229501;Unknown;51;52;70;359
053229602;Unknown;51;52;70;359
053229704;Unknown;51;52;80;359
053229806;Unknown;51;52;80;359
053229908;Unknown;50;52;80;359
053230010;Unknown;50;52;80;359
053230113;Unknown;47;52;80;359
053230140;Stop;47;53;80;359
053230214;Unknown;47;53;80;359
053230316;Unknown;46;53;80;359
053230418;Unknown;46;53;80;359
053230520;Unknown;45;53;80;359
053230622;Unknown;45;52;80;359
053230724;Unknown;44;52;70;359
053230827;Unknown;44;52;70;359
053230977;Unknown;43;52;70;359
053231030;Unknown;43;52;70;359
053231133;Unknown;41;52;70;359
053231234;Unknown;40;52;70;359
053231336;Unknown;40;52;70;359
053231438;Unknown;40;52;70;359
053231540;Unknown;40;52;70;359
053231744;Unknown;40;52;70;359
053231848;Unknown;40;52;70;359
053232342;Land;39;52;70;359
053233939;Unknown;39;52;40;359
053234447;Unknown;39;52;20;359
053234652;Unknown;39;52;10;359
053235267;Unknown;39;52;0;2
053235366;Unknown;39;52;0;1
053235468;Unknown;39;52;0;1
053236530;StopRecordRepeatNavigationRecording;39;52;0;1
