time;input;xPos;yPos;zPos;Bearing
1409415;Connect;50;50;0;0
1409860;TakeOff;50;50;0;0
1410735;Unknown;50;50;0;0
1410838;Unknown;50;50;0;0
1410939;Unknown;50;50;10;0
1411653;Unknown;49;50;50;0
1411764;Unknown;49;50;50;0
1411857;Unknown;49;50;60;0
1412571;Unknown;49;50;60;0
1412673;Unknown;49;50;60;0
1416961;MoveBackward;49;50;80;0
1418385;Unknown;49;50;70;0
1418590;Unknown;49;50;70;0
1418692;Unknown;49;50;70;0
1418794;Unknown;49;50;70;0
1418896;Unknown;49;49;70;0
1418998;Unknown;49;49;70;0
1419151;Unknown;49;49;80;0
1419253;Unknown;49;49;80;0
1419355;Unknown;49;49;80;0
1419457;Unknown;49;49;80;0
1419619;Unknown;49;49;80;0
1419661;Unknown;49;49;80;0
1419763;Unknown;49;49;80;0
1419865;Unknown;49;49;80;0
1419967;Unknown;49;49;80;0
1420069;Unknown;49;49;80;0
1420171;Unknown;49;49;80;0
1420273;Unknown;49;48;80;0
1420364;Stop;49;48;80;0
1420377;Unknown;49;48;80;0
1420478;Unknown;49;48;80;0
1420580;Unknown;49;48;70;0
1420681;Unknown;49;48;70;0
1420783;Unknown;49;48;70;0
1420885;Unknown;49;48;70;0
1420987;Unknown;49;48;70;0
1421089;Unknown;49;48;70;0
1421293;Unknown;49;48;70;0
1421365;Land;49;48;70;0
1421395;Unknown;49;48;70;0
1421497;Unknown;49;48;70;0
1421701;Unknown;49;48;70;0
1421905;Unknown;49;48;70;0
1423180;Unknown;49;48;20;0
1423282;Unknown;49;48;20;0
1423589;Unknown;49;48;10;0
1423691;Unknown;49;48;0;0
1424404;Unknown;49;48;0;3
1424749;StopRecordRepeatNavigationRecording;49;48;0;3
