time;input;xPos;yPos;zPos;Bearing
5131503;Connect;50;50;0;0
5132363;StartRrNavigation;50;50;0;0
5133163;TakeOff;50;50;0;0
5142341;MoveForward;50;50;60;0
5144423;Unknown;50;50;50;0
5144617;Unknown;49.589;50.125;50;0
5144719;Unknown;49.589;50.425;50;0
5144821;Unknown;49.589;50.725;50;0
5144923;Unknown;49.589;51.125;50;0
5145025;Unknown;49.589;51.525;50;0
5145127;Unknown;49.589;52.025;50;0
5145231;Unknown;49.589;52.525;50;0
5145331;Unknown;49.589;53.025;50;0
5145486;Unknown;49.589;53.525;50;0
5145535;Unknown;49.589;54.125;50;0
5145637;Unknown;49.589;54.855;50;0
5145755;Unknown;49.589;55.761;50;0
5145841;Unknown;49.589;56.361;60;0
5145943;Unknown;49.589;57.284;50;0
5146145;Stop;49.589;58.159;50;0
5146147;Unknown;49.589;58.159;50;0
5146249;Unknown;49.589;58.759;50;0
5146351;Unknown;49.589;59.359;50;0
5146455;Unknown;49.589;60.357;50;0
5146555;Unknown;49.589;61.269;50;0
5146657;Unknown;49.589;62.099;50;0
5146746;MoveRight;49.589;62.966;60;0
5146759;Unknown;49.589;62.966;60;0
5146861;Unknown;49.589;63.366;60;0
5146963;Unknown;49.589;63.766;60;0
5147065;Unknown;49.589;64.066;60;0
5147167;Unknown;49.589;64.366;60;0
5147269;Unknown;49.723;64.634;60;0
5147371;Unknown;50.006;64.917;60;0
5147473;Unknown;50.274;65.052;60;0
5147575;Unknown;50.654;65.178;60;0
5147677;Unknown;51.218;65.676;60;0
5147747;Stop;51.703;65.797;60;0
5147779;Unknown;51.703;65.797;60;0
5147881;Unknown;52.203;65.797;60;0
5147983;Unknown;52.703;65.797;60;0
5148034;Unknown;53.203;65.797;60;0
5148135;Unknown;53.703;65.797;60;0
5148237;Unknown;54.103;65.797;60;0
5148339;Unknown;54.503;65.797;60;0
5148442;Unknown;54.927;66.244;60;0
5148558;Unknown;55.227;66.244;60;0
5148748;MoveBackward;55.527;66.244;60;0
5149361;Unknown;55.527;66.244;60;0
5149461;Unknown;55.661;65.976;60;0
5149566;Unknown;55.661;65.676;50;0
5149669;Unknown;56.057;64.691;50;0
5149748;Stop;56.057;64.291;50;0
5149771;Unknown;56.057;64.291;50;0
5149870;Unknown;56.057;63.791;50;0
5149975;Unknown;56.057;63.291;50;0
5150079;Unknown;55.64;62.151;50;0
5150181;Unknown;55.64;61.651;50;0
5150281;Unknown;55.64;61.251;50;0
5150384;Unknown;55.64;60.851;50;0
5150481;Unknown;55.64;60.135;50;0
5150549;MoveRight;55.64;59.531;50;0
5150583;Unknown;55.64;59.531;50;0
5151195;Unknown;55.64;58.966;50;0
5151297;Unknown;55.907;58.41;60;0
5151399;Unknown;56.286;58.284;60;0
5151502;Unknown;56.666;58.157;60;0
5151630;Unknown;57.151;58.036;60;0
5151706;Unknown;57.551;58.036;60;0
5151750;Stop;58.051;58.036;60;0
5151809;Unknown;58.051;58.036;60;0
5151909;Unknown;58.551;58.036;60;0
5151960;Unknown;59.051;58.036;60;0
5152062;Unknown;59.551;58.036;60;0
5152165;Unknown;60.051;58.036;60;0
5152267;Unknown;60.86;58.036;60;0
5152351;MoveBackward;61.26;58.036;60;0
5152368;Unknown;61.26;58.036;60;0
5152473;Unknown;61.66;58.036;60;0
5152573;Unknown;61.96;58.036;60;0
5152674;Unknown;62.26;58.036;60;0
5152879;Unknown;63.12;57.581;60;0
5152980;Unknown;63.388;57.447;60;0
5153185;Unknown;63.506;56.876;60;0
5153286;Unknown;63.633;56.497;60;0
5153389;Unknown;63.633;56.097;60;0
5153491;Unknown;63.633;55.597;60;0
5153551;Stop;63.633;54.753;60;0
5153592;Unknown;63.633;54.753;60;0
5153696;Unknown;63.633;53.917;60;0
5153797;Unknown;63.633;53.105;60;0
5153901;Unknown;63.633;52.055;60;0
5153952;MoveLeft;63.633;51.261;60;0
5154004;Unknown;63.633;51.261;60;0
5154106;Unknown;63.633;50.761;60;0
5154204;Unknown;63.633;50.361;60;0
5154306;Unknown;63.633;49.716;60;0
5154408;Unknown;63.633;49.15;60;0
5154510;Unknown;63.506;48.771;60;0
5154701;Unknown;63.38;48.391;60;0
5154716;Unknown;63.097;48.108;60;0
5154816;Unknown;62.681;47.831;60;0
5154918;Unknown;62.196;47.71;60;0
5155122;Unknown;61.241;47.202;60;0
5155224;Unknown;60.741;47.202;60;0
5155326;Unknown;60.141;47.202;60;0
5155352;Stop;59.312;46.666;60;0
5155428;Unknown;59.312;46.666;60;0
5155479;Unknown;58.712;46.666;60;0
5155581;Unknown;57.982;46.48;60;0
5155734;Unknown;57.382;46.48;60;0
5155785;Unknown;56.308;46.48;60;0
5155887;Unknown;55.634;46.48;60;0
5155993;Unknown;55.234;46.48;60;0
5156092;Unknown;54.834;46.48;60;0
5156193;Unknown;54.434;46.48;60;0
5156296;Unknown;54.134;46.48;60;0
5156397;Unknown;53.834;46.48;60;0
5156601;Unknown;53.228;46.48;50;0
5157554;Land;52.743;46.48;50;0
5159406;Unknown;52.743;46.48;20;0
5200222;Unknown;52.743;46.174;-10;0
5200936;CompleteRrNavigation;52.437;46.174;0;3
