time;input;xPos;yPos;zPos
051813827;Connect;50;50;0
051815245;TakeOff;50;50;0
051820368;MoveForward;49;49;60
051822771;Stop;48;55;60
051825773;Rise;49;68;60
051827173;Stop;49;69;90
051828374;MoveRight;49;69;110
051829574;Stop;53;72;100
051834377;MoveBackward;61;73;100
051836378;Stop;60;66;110
051837778;MoveRight;59;63;100
051839179;Stop;67;63;100
051840380;MoveBackward;70;65;100
051843181;Stop;72;54;110
051844782;MoveLeft;72;45;120
051848383;Stop;48;41;100
051849584;Land;41;37;90
051856579;StopRecordRepeatNavigationRecording;37;40;0
