time;input;xPos;yPos;zPos
015500004;Connect;50;50;0
015501626;TakeOff;50;50;0
015509279;MoveForward;49;50;50
015512082;Stop;49;63;60
015513083;RotateClockwise;50;68;60
015515484;Stop;49;69;60
015515885;MoveForward;49;69;60
015517485;Stop;45;69;60
015518486;RotateClockwise;42;67;60
015521287;Stop;42;67;60
015521487;MoveForward;42;67;60
015524288;Stop;41;68;60
015525089;RotateClockwise;41;65;60
015527490;Stop;40;65;50
015527890;MoveForward;40;65;50
015529891;Stop;47;61;60
015531091;RotateClockwise;53;57;70
015533693;Stop;53;57;50
015534093;Land;53;57;60
