time;input;xPos;yPos;zPos
035802021;Connect;50;50;0
035803270;TakeOff;50;50;0
035808749;MoveForward;50;49;60
035811751;Stop;48;54;60
035814152;RotateClockwise;51;63;60
035816754;Stop;51;63;60
035817955;Rise;51;63;60
035820356;Stop;54;62;130
035820956;MoveForward;54;61;150
035821957;Stop;53;62;140
035824357;RotateClockwise;49;67;150
035826959;Stop;49;67;140
035827359;MoveForward;49;67;140
035828960;Stop;48;68;150
035830761;RotateClockwise;45;68;140
035833562;Stop;45;68;140
035833962;Land;45;68;140
035839241;StopRecordRepeatNavigationRecording;43;69;0
