time;input;xPos;yPos;zPos;Bearing
073900216;Connect;50;50;0;0
073901272;TakeOff;50;50;0;0
073901851;Unknown;50;50;0;0
073903279;Unknown;50;49;60;0
073903381;Unknown;49;49;70;0
073907834;MoveRight;49;49;80;0
073909960;Unknown;49;49;80;0
073910062;Unknown;50;49;80;0
073910172;Unknown;50;49;80;0
073910267;Unknown;50;49;80;0
073910367;Unknown;50;49;80;0
073910469;Unknown;50;49;80;0
073910571;Unknown;51;49;80;0
073910674;Unknown;51;49;80;0
073910775;Unknown;51;49;80;0
073910878;Unknown;52;49;80;0
073910980;Unknown;52;49;80;0
073911081;Unknown;52;49;80;0
073911184;Unknown;52;49;80;0
073911285;Unknown;53;49;80;0
073911387;Unknown;53;49;80;0
073911489;Unknown;54;49;80;0
073911591;Unknown;54;49;80;0
073911637;Stop;54;49;80;0
073911693;Unknown;54;49;80;0
073911796;Unknown;55;49;80;0
073911846;Unknown;55;49;80;0
073911999;Unknown;56;49;80;0
073912107;Unknown;56;49;80;0
073912203;Unknown;56;51;80;0
073912255;Unknown;56;51;80;0
073912356;Unknown;57;51;80;0
073912458;Unknown;57;51;80;0
073912560;Unknown;57;51;80;0
073912663;Unknown;57;51;80;0
073913838;MoveLeft;57;51;80;0
073914498;Unknown;57;51;80;0
073914600;Unknown;57;51;80;0
073914703;Unknown;57;51;80;0
073914804;Unknown;57;51;80;0
073914906;Unknown;57;51;80;0
073915010;Unknown;56;51;80;0
073915110;Unknown;56;50;80;0
073915213;Unknown;55;50;80;0
073915316;Unknown;55;50;80;0
073915416;Unknown;54;50;80;0
073915518;Unknown;54;49;80;0
073915620;Unknown;54;49;80;0
073915722;Unknown;53;49;80;0
073915824;Unknown;53;49;80;0
073915926;Unknown;52;49;80;0
073916028;Unknown;52;49;80;0
073916082;Unknown;49;49;80;0
073916181;Unknown;49;49;80;0
073916283;Unknown;48;49;80;0
073916385;Unknown;48;49;80;0
073916487;Unknown;47;49;80;0
073916589;Unknown;46;49;80;0
073916640;Stop;46;49;80;0
073916691;Unknown;46;49;80;0
073916793;Unknown;45;49;80;0
073916896;Unknown;44;49;80;0
073917000;Unknown;44;49;80;0
073917102;Unknown;41;49;80;0
073917203;Unknown;41;49;80;0
073917306;Unknown;40;49;80;0
073917405;Unknown;40;49;80;0
073917507;Unknown;39;49;80;0
073917609;Unknown;39;49;80;0
073917711;Unknown;39;49;80;0
073917813;Unknown;39;49;80;0
073918221;Unknown;38;49;80;0
073918641;Land;38;49;80;0
073919445;Unknown;38;49;80;0
073919802;Unknown;38;49;70;0
073919904;Unknown;38;49;70;0
073920108;Unknown;38;49;60;0
073920924;Unknown;38;49;30;0
073921740;Unknown;38;49;0;354
073921842;Unknown;38;49;0;352
073922148;Unknown;37;47;10;352
073922250;Unknown;37;47;10;352
073922352;Unknown;37;46;10;352
073922658;Unknown;37;46;0;352
073922854;StopRecordRepeatNavigationRecording;37;46;0;352
