time;input;xPos;yPos;zPos;Bearing
053016174;Connect;50;50;0;0
053017040;TakeOff;50;50;0;0
053017433;Unknown;50;50;0;0
053026648;MoveForward;50;50;80;358
053028653;Unknown;50;50;80;358
053028755;Unknown;50;50;80;358
053028865;Unknown;50;50;80;358
053028959;Unknown;49;50;80;358
053029061;Unknown;49;50;80;358
053029163;Unknown;49;51;80;358
053029265;Unknown;49;51;80;358
053029317;Unknown;49;51;80;358
053029418;Unknown;49;51;80;358
053029520;Unknown;49;52;80;358
053029622;Unknown;49;52;80;358
053029724;Unknown;49;53;80;358
053029830;Unknown;49;53;80;358
053029929;Unknown;49;54;80;358
053030030;Unknown;48;55;80;358
053030132;Unknown;48;57;80;358
053030234;Unknown;48;57;80;358
053030336;Unknown;48;58;80;358
053030438;Unknown;48;59;80;358
053030451;Stop;48;59;80;358
053030540;Unknown;48;59;80;358
053030642;Unknown;48;60;80;358
053030744;Unknown;48;61;80;358
053030846;Unknown;48;61;80;358
053030949;Unknown;48;62;80;358
053031051;Unknown;47;62;80;358
053031152;Unknown;47;63;80;358
053031254;Unknown;47;64;80;358
053031356;Unknown;48;64;80;358
053031459;Unknown;48;64;80;358
053031562;Unknown;48;65;80;358
053031662;Unknown;48;65;80;358
053031765;Unknown;48;65;80;358
053031866;Unknown;48;65;80;358
053031968;Unknown;48;65;80;358
053032253;MoveRight;47;65;80;358
053032836;Unknown;47;65;80;358
053032938;Unknown;47;65;80;358
053033041;Unknown;48;65;80;358
053033156;Unknown;48;65;80;358
053033244;Unknown;48;65;80;358
053033345;Unknown;48;65;80;358
053033447;Unknown;48;65;80;358
053033550;Unknown;49;65;80;358
053033651;Unknown;49;66;80;358
053033753;Unknown;49;66;80;358
053033855;Unknown;50;66;80;358
053033962;Unknown;50;66;80;358
053034059;Unknown;50;66;80;358
053034162;Unknown;51;68;80;358
053034264;Unknown;51;68;80;358
053034367;Unknown;51;68;80;358
053034454;Stop;52;68;80;358
053034467;Unknown;52;68;80;358
053034569;Unknown;52;68;80;358
053034671;Unknown;53;68;80;358
053034773;Unknown;53;68;80;358
053034875;Unknown;54;68;80;358
053034977;Unknown;54;68;80;358
053035079;Unknown;54;68;80;358
053035182;Unknown;54;68;80;358
053035283;Unknown;55;68;80;358
053035385;Unknown;55;68;80;358
053035487;Unknown;55;68;80;358
053035589;Unknown;55;68;80;358
053035800;Unknown;55;68;80;358
053035855;MoveBackward;55;68;80;358
053036099;Unknown;55;68;80;358
053036405;Unknown;59;70;80;358
053036457;Unknown;59;70;80;358
053036559;Unknown;59;69;80;358
053036661;Unknown;59;69;80;358
053036763;Unknown;59;69;80;358
053036865;Unknown;59;69;80;358
053036967;Unknown;58;69;80;358
053037069;Unknown;58;68;80;358
053037171;Unknown;58;68;80;358
053037273;Unknown;58;67;80;358
053037375;Unknown;58;67;80;358
053037477;Unknown;58;66;80;358
053037583;Unknown;58;66;80;358
053037681;Unknown;58;65;80;358
053037783;Unknown;58;64;80;358
053037885;Unknown;58;64;80;358
053037987;Unknown;58;63;80;358
053038089;Unknown;58;63;80;358
053038191;Unknown;58;62;80;358
053038256;Stop;58;62;80;358
053038293;Unknown;58;62;80;358
053038395;Unknown;58;61;80;358
053038497;Unknown;58;61;80;358
053038599;Unknown;58;61;80;358
053038701;Unknown;58;60;80;358
053038803;Unknown;58;60;80;358
053038905;Unknown;58;59;70;358
053039007;Unknown;58;59;80;358
053039109;Unknown;58;59;80;358
053039211;Unknown;58;59;80;358
053039314;Unknown;58;58;80;358
053039416;Unknown;58;58;80;358
053039457;MoveLeft;58;58;80;358
053039519;Unknown;58;58;80;358
053039829;Unknown;58;58;70;358
053039925;Unknown;57;58;70;358
053040027;Unknown;57;58;70;358
053040129;Unknown;55;58;70;358
053040231;Unknown;55;58;70;358
053040333;Unknown;55;58;70;358
053040435;Unknown;56;58;70;358
