time;input;xPos;yPos;zPos;Bearing
011320336;Connect;50;50;0;0
011320971;TakeOff;50;50;0;0
011321390;Unknown;50;50;0;0
011321492;Unknown;50;50;0;0
011324298;Unknown;50;50;100;0
011324704;Unknown;49;50;100;0
011324816;Unknown;49;50;100;0
011325062;Unknown;50;49;100;0
011329703;MoveForward;50;50;120;0
011330876;Unknown;50;50;120;0
011330978;Unknown;50;51;120;0
011331080;Unknown;50;51;120;0
011331182;Unknown;50;51;120;0
011331284;Unknown;50;51;120;0
011331387;Unknown;49;51;120;0
011331488;Unknown;49;52;120;0
011331591;Unknown;49;52;120;0
011331692;Unknown;49;52;120;0
011331795;Unknown;49;52;120;0
011331896;Unknown;49;53;120;0
011331998;Unknown;49;53;120;0
011332100;Unknown;49;53;120;0
011332202;Unknown;49;54;120;0
011332304;Unknown;49;54;120;0
011332410;Unknown;49;54;120;0
011332508;Unknown;49;55;120;0
011332611;Unknown;49;55;120;0
011332712;Unknown;49;55;120;0
011332814;Unknown;49;56;120;0
011332916;Unknown;49;56;120;0
011333018;Unknown;49;56;120;0
011333121;Unknown;49;57;120;0
011333222;Unknown;49;57;120;0
011333325;Unknown;49;57;120;0
011333426;Unknown;49;58;120;0
011333507;MoveRight;49;58;120;0
011333528;Unknown;49;58;120;0
011333630;Unknown;49;59;120;0
011333732;Unknown;49;59;120;0
011333834;Unknown;49;59;120;0
011333936;Unknown;50;60;120;0
011334038;Unknown;50;60;120;0
011334140;Unknown;50;60;120;0
011334242;Unknown;50;61;120;0
011334344;Unknown;50;61;120;0
011334446;Unknown;50;61;120;0
011334497;Unknown;51;61;120;0
011334599;Unknown;51;61;120;0
011334701;Unknown;51;61;120;0
011334803;Unknown;52;62;120;0
011334905;Unknown;52;62;120;0
011335008;Unknown;52;62;120;0
011335108;MoveBackward;53;62;120;0
011335110;Unknown;53;62;120;0
011335212;Unknown;53;62;120;0
011335313;Unknown;53;62;120;0
011335415;Unknown;53;62;120;0
011335518;Unknown;54;62;120;0
011335620;Unknown;54;62;120;0
011335722;Unknown;54;62;120;0
011335823;Unknown;55;62;120;0
011335925;Unknown;55;62;120;0
011336029;Unknown;55;61;120;0
011336129;Unknown;55;61;120;0
011336232;Unknown;55;61;120;0
011336334;Unknown;55;60;120;0
011336435;Unknown;55;60;120;0
011336537;Unknown;56;60;120;0
011336639;Unknown;56;59;120;0
011336741;Unknown;56;59;120;0
011336843;Unknown;56;59;120;0
011336946;Unknown;56;58;120;0
011337048;Unknown;56;58;120;0
011337109;MoveLeft;56;58;120;0
011337149;Unknown;56;58;120;0
011337251;Unknown;56;57;120;0
011337354;Unknown;56;57;120;0
011337456;Unknown;56;57;120;0
011337558;Unknown;56;56;120;0
011337661;Unknown;56;56;120;0
011337761;Unknown;56;56;120;0
011337865;Unknown;55;55;120;0
011337965;Unknown;55;55;120;0
011338016;Unknown;55;55;120;0
011338169;Unknown;55;55;120;0
011338271;Unknown;54;54;120;0
011338323;Unknown;54;54;120;0
011338424;Unknown;54;53;120;0
011338510;Stop;53;53;120;0
011338529;Unknown;53;53;120;0
011338628;Unknown;53;53;120;0
011338730;Unknown;53;53;120;0
011338837;Unknown;52;53;120;0
011338935;Unknown;52;53;120;0
011339037;Unknown;52;53;120;0
011339138;Unknown;51;53;120;0
011339240;Unknown;51;53;120;0
011339342;Unknown;51;52;120;0
011339444;Unknown;50;52;120;0
011339546;Unknown;50;52;120;0
011340056;Unknown;50;52;120;0
011340158;Unknown;50;53;120;0
011340260;Unknown;50;53;120;0
011340311;Land;50;53;120;0
011341178;Unknown;50;53;120;0
011341586;Unknown;50;53;110;0
011341943;Unknown;50;53;90;0
011342504;Unknown;50;54;60;0
011343167;Unknown;50;54;30;0
011343473;Unknown;50;54;30;2
011344085;StopRecordRepeatNavigationRecording;50;54;30;2
