time;input;xPos;yPos;zPos;Bearing
014230358;Connect;50;50;0;0
014230974;TakeOff;50;50;0;0
014231393;Unknown;50;50;0;0
014233382;Unknown;50;50;70;0
014233688;Unknown;49;50;80;0
014233791;Unknown;49;50;80;0
014233892;Unknown;49;50;80;0
014233994;Unknown;49;50;80;0
014237878;MoveForward;49;50;90;0
014239199;Unknown;49;50;90;0
014239513;Unknown;49;50;90;0
014239606;Unknown;49;51;90;0
014239708;Unknown;49;51;90;0
014239810;Unknown;49;51;90;0
014239913;Unknown;49;51;90;0
014240015;Unknown;49;52;90;0
014240116;Unknown;49;53;90;0
014240218;Unknown;49;54;90;0
014240320;Unknown;49;54;90;0
014240422;Unknown;49;54;90;0
014240524;Unknown;49;55;90;0
014240626;Unknown;49;55;90;0
014240728;Unknown;49;56;90;0
014240830;Unknown;49;56;90;0
014240953;Unknown;49;57;90;0
014241034;Unknown;49;57;90;0
014241137;Unknown;49;59;90;0
014241238;Unknown;49;59;90;0
014241340;Unknown;49;59;90;0
014241442;Unknown;49;60;90;0
014241544;Unknown;49;60;90;0
014241646;Unknown;49;61;90;0
014241748;Unknown;49;61;90;0
014241850;Unknown;49;62;90;0
014241881;Stop;49;62;90;0
014241952;Unknown;49;62;90;0
014242063;Unknown;49;63;90;0
014242156;Unknown;48;63;90;0
014242258;Unknown;48;64;90;0
014242361;Unknown;48;64;90;0
014242462;Unknown;48;64;90;0
014242513;Unknown;48;65;90;0
014242615;Unknown;48;65;90;0
014242717;Unknown;48;65;90;0
014242820;Unknown;47;66;90;0
014243074;Unknown;47;66;90;0
014243228;Unknown;47;67;90;0
014243282;MoveRight;47;68;90;0
014243331;Unknown;47;68;90;0
014243432;Unknown;47;68;90;0
014243945;Unknown;47;68;90;0
014244046;Unknown;47;68;90;0
014244146;Unknown;48;68;90;0
014244249;Unknown;48;68;80;0
014244350;Unknown;48;68;80;0
014244451;Unknown;48;68;80;0
014244560;Unknown;49;68;80;0
014244661;Unknown;49;68;80;0
014244761;Unknown;49;68;80;0
014244860;Unknown;50;68;80;0
014244961;Unknown;50;68;90;0
014245063;Unknown;50;68;90;0
014245165;Unknown;51;68;90;0
014245267;Unknown;51;68;90;0
014245283;Stop;51;68;90;0
014245369;Unknown;51;68;90;0
014245472;Unknown;52;68;90;0
014245573;Unknown;52;67;90;0
014245676;Unknown;53;67;90;0
014245778;Unknown;53;67;90;0
014245830;Unknown;53;67;90;0
014245982;Unknown;54;67;90;0
014246084;Unknown;54;67;90;0
014246187;Unknown;54;67;90;0
014246288;Unknown;54;67;90;0
014246645;Unknown;55;67;80;0
014246747;Unknown;55;67;80;0
014246884;MoveBackward;55;67;80;0
014247461;Unknown;55;67;80;0
014247665;Unknown;54;67;80;0
014247767;Unknown;54;67;80;0
014247869;Unknown;54;66;80;0
014247973;Unknown;54;66;80;0
014248073;Unknown;54;66;80;0
014248175;Unknown;54;66;80;0
014248277;Unknown;54;65;80;0
014248379;Unknown;54;65;80;0
014248481;Unknown;54;64;90;0
014248485;Stop;54;64;90;0
014248585;Unknown;54;64;90;0
014248685;Unknown;55;63;90;0
014248787;Unknown;55;62;90;0
014248889;Unknown;54;62;90;0
014248991;Unknown;54;61;90;0
014249093;Unknown;54;61;90;0
014249196;Unknown;54;60;90;0
014249298;Unknown;54;60;90;0
014249400;Unknown;54;60;90;0
014249503;Unknown;54;60;90;0
014249554;Unknown;54;60;90;0
014249656;Unknown;54;59;90;0
014249686;MoveLeft;54;59;80;0
014249860;Unknown;54;59;80;0
014250269;Unknown;54;59;80;0
014250369;Unknown;54;59;80;0
014250473;Unknown;54;59;80;0
014250573;Unknown;54;59;80;0
014250675;Unknown;53;59;80;0
014250777;Unknown;53;59;80;0
014250880;Unknown;53;59;80;0
014250981;Unknown;52;59;80;0
014251083;Unknown;52;58;80;0
014251185;Unknown;51;58;80;0
014251287;Stop;50;58;80;0
014251287;Unknown;50;58;80;0
014251389;Unknown;50;58;80;0
014251491;Unknown;49;58;80;0
014251593;Unknown;49;58;90;0
014251695;Unknown;49;58;90;0
014251798;Unknown;48;58;90;0
014251900;Unknown;48;58;90;0
014252002;Unknown;48;57;90;0
014252104;Unknown;48;57;90;0
014252206;Unknown;47;57;90;0
014252308;Unknown;47;57;90;0
014252512;Unknown;47;57;90;0
014252615;Unknown;47;57;90;0
014252888;Land;47;57;80;0
014253583;Unknown;47;57;90;0
014253685;Unknown;47;57;90;0
014254297;Unknown;47;57;70;0
014255215;Unknown;47;57;30;0
014255726;Unknown;47;58;0;358
014255921;StopRecordRepeatNavigationRecording;47;58;0;358
