time;input;xPos;yPos;zPos;Bearing
025547382;Connect;50;50;0;0
025548230;TakeOff;50;50;0;308
025549120;Unknown;50;50;0;307
025549214;Unknown;50;49;10;307
025549316;Unknown;50;49;20;307
025550030;Unknown;50;49;70;307
025550233;Unknown;51;49;70;307
025550335;Unknown;51;49;70;307
025550897;Unknown;51;48;70;307
025551304;Unknown;51;49;70;307
025551407;Unknown;51;49;70;307
025551919;Unknown;51;49;80;307
025552222;Unknown;51;49;90;307
025558088;MoveForward;51;49;100;307
025558648;Unknown;51;49;100;307
025559566;Unknown;51;49;100;307
025559668;Unknown;51;49;100;306
025559770;Unknown;51;49;100;306
025559872;Unknown;51;49;100;306
025559974;Unknown;51;50;100;306
025600076;Unknown;50;50;100;306
025600127;Unknown;50;50;100;306
025600229;Unknown;50;51;100;306
025600433;Unknown;50;51;100;307
025600491;Stop;50;52;100;307
025600535;Unknown;50;52;100;307
025600637;Unknown;50;52;90;307
025600739;Unknown;50;53;90;307
025601045;Unknown;50;53;90;307
025601147;Unknown;50;53;90;307
025601249;Unknown;51;53;90;307
025601453;Unknown;51;54;90;306
025601555;Unknown;50;54;90;306
025601759;Unknown;50;54;90;306
025601964;Unknown;50;54;90;306
025602892;Land;50;54;80;306
025603799;Unknown;50;54;80;306
025604156;Unknown;50;54;70;306
025604769;Unknown;50;54;50;306
025604972;Unknown;50;54;40;306
025605074;Unknown;50;54;40;306
025605278;Unknown;49;55;30;306
025605381;Unknown;49;55;20;306
025605482;Unknown;49;55;20;306
025605992;Unknown;49;55;0;305
025606588;StopRecordRepeatNavigationRecording;49;56;0;305
