time;input;xPos;yPos;zPos;Bearing
3236799;Connect;50;50;0;0
3237641;TakeOff;50;50;0;0
3238045;Unknown;50;50;0;0
3238156;Unknown;50;52;0;359
3238555;Unknown;49;52;0;0
3248647;MoveForward;49;52;60;359
3250031;Unknown;49;52;60;359
3250235;Unknown;49;51;60;359
3250337;Unknown;49;51;60;359
3250388;Unknown;49;51;60;359
3250490;Unknown;49;51;60;0
3250592;Unknown;49;51;60;359
3250694;Unknown;49;52;60;359
3250796;Unknown;49;52;50;359
3251000;Unknown;49;52;50;0
3251102;Unknown;49;52;50;0
3251306;Unknown;49;53;50;359
3251409;Unknown;49;53;50;359
3251450;Stop;49;53;50;359
3251511;Unknown;49;53;50;359
3251613;Unknown;49;54;50;359
3251715;Unknown;49;54;50;359
3251816;Unknown;49;54;50;359
3251851;MoveRight;48;55;50;359
3252022;Unknown;48;55;50;0
3252224;Unknown;48;55;60;359
3252326;Unknown;49;55;60;359
3252428;Unknown;49;55;60;359
3252530;Unknown;49;56;60;359
3252632;Unknown;49;56;60;359
3252734;Unknown;49;56;60;359
3252836;Unknown;49;56;60;359
3252938;Unknown;50;56;60;359
3253040;Unknown;50;56;60;359
3253142;Unknown;50;56;60;359
3253244;Unknown;50;56;60;359
3253346;Unknown;51;56;60;359
3253449;Unknown;51;56;70;359
3253453;Stop;51;56;70;359
3253550;Unknown;51;56;70;359
3253652;Unknown;52;56;70;359
3253754;Unknown;52;57;70;359
3253856;Unknown;52;57;70;359
3253959;Unknown;53;57;70;359
3254060;Unknown;53;56;70;359
3254162;Unknown;53;56;70;359
3254417;Unknown;53;56;70;359
3254453;MoveBackward;53;56;70;359
3254825;Unknown;53;56;70;0
3254927;Unknown;54;56;70;0
3255028;Unknown;54;56;70;0
3255131;Unknown;54;56;60;0
3255232;Unknown;54;56;60;0
3255335;Unknown;54;55;60;0
3255437;Unknown;54;55;60;0
3255641;Unknown;54;55;60;359
3255743;Unknown;53;55;60;359
3255854;Stop;53;54;60;0
3255946;Unknown;53;54;60;0
3256048;Unknown;53;54;60;0
3256150;Unknown;53;54;60;0
3256252;Unknown;53;53;60;0
3256355;Unknown;53;53;60;0
3256457;Unknown;53;53;60;0
3256660;Unknown;54;53;70;359
3256855;Land;54;52;70;0
3256864;Unknown;54;52;70;0
3257374;Unknown;54;52;70;0
3257834;Unknown;54;52;70;359
3258038;Unknown;54;52;60;0
3259261;Unknown;54;51;10;359
3259363;Unknown;53;51;0;359
3259568;Unknown;53;51;0;359
3300077;Unknown;53;51;-10;359
3300587;Unknown;53;52;0;0
3300995;Unknown;53;52;0;0
3301257;StopRecordRepeatNavigationRecording;53;52;0;0
