time;input;xPos;yPos;zPos;Bearing
0829981;Connect;50;50;0;0
0831226;Connect;50;50;0;0
0832049;TakeOff;50;50;0;0
0832529;Unknown;50;50;0;0
0832625;Unknown;50;49;0;359
0832932;Unknown;49;50;0;359
0834004;Unknown;49;50;60;359
0834819;Unknown;48;50;60;359
0843155;MoveForward;48;50;70;359
0845272;Unknown;48;50;70;359
0845374;Unknown;48;50;70;359
0845476;Unknown;48;50;70;359
0845578;Unknown;48;50;70;359
0845680;Unknown;48;50;70;359
0845782;Unknown;48;51;70;359
0845884;Unknown;48;51;70;359
0845991;Unknown;48;51;70;359
0846088;Unknown;48;51;70;359
0846158;Stop;48;52;70;359
0846190;Unknown;48;52;70;359
0846301;Unknown;48;52;70;359
0846394;Unknown;48;52;70;359
0846496;Unknown;48;53;70;359
0846559;MoveRight;48;53;70;359
0846598;Unknown;48;53;70;359
0846700;Unknown;48;53;70;359
0846802;Unknown;47;54;70;359
0846904;Unknown;47;54;70;359
0847006;Unknown;47;54;70;359
0847108;Unknown;47;54;70;359
0847210;Unknown;47;55;70;359
0847312;Unknown;47;55;70;359
0847414;Unknown;48;55;60;359
0847516;Unknown;48;55;60;359
0847618;Unknown;48;55;60;359
0847669;Unknown;48;55;60;359
0847771;Unknown;48;55;60;359
0847873;Unknown;49;55;60;359
0847976;Unknown;49;55;60;359
0848077;Unknown;49;56;70;359
0848160;Stop;50;56;70;359
0848179;Unknown;50;56;70;359
0848281;Unknown;50;56;70;359
0848383;Unknown;50;56;70;359
0848484;Unknown;50;56;70;359
0848587;Unknown;51;56;70;359
0848688;Unknown;51;56;70;359
0848790;Unknown;51;56;70;359
0848898;Unknown;51;56;70;359
0849005;Unknown;52;56;70;359
0849097;Unknown;52;56;70;359
0849161;MoveBackward;52;55;70;359
0849198;Unknown;52;55;70;359
0849405;Unknown;52;55;70;359
0849711;Unknown;52;55;70;359
0849913;Unknown;52;55;70;359
0850015;Unknown;52;55;80;359
0850118;Unknown;51;55;80;359
0850219;Unknown;51;54;80;359
0850326;Unknown;51;54;80;359
0850424;Unknown;51;54;80;359
0850526;Unknown;51;54;80;359
0850561;Stop;51;53;80;359
0850627;Unknown;51;53;80;359
0850729;Unknown;51;53;80;359
0850831;Unknown;51;53;80;359
0850933;Unknown;51;52;80;359
0851035;Unknown;51;52;80;359
0851137;Unknown;51;52;80;359
0851188;Unknown;51;52;80;359
0851290;Unknown;51;51;80;359
0851398;Unknown;51;51;80;359
0851494;Unknown;51;51;80;359
0851596;Unknown;51;51;80;359
0851698;Unknown;51;51;80;359
0851762;Land;51;51;80;359
0851800;Unknown;51;51;80;359
0851902;Unknown;51;50;80;359
0852208;Unknown;51;50;70;359
0852310;Unknown;51;50;70;359
0852616;Unknown;50;50;70;359
0853024;Unknown;50;50;60;359
0853944;Unknown;49;50;20;359
0854249;Unknown;49;50;0;359
0854759;Unknown;49;50;0;359
0856858;StopRecordRepeatNavigationRecording;49;48;0;0
