time;input;xPos;yPos;zPos;Bearing
5328237;Connect;50;50;0;0
5328915;TakeOff;50;50;0;0
5337921;MoveForward;50;50;80;0
5340223;Unknown;50;50;80;0
5340325;Unknown;50;50.3;80;0
5340426;Unknown;50;50.7;80;0
5340528;Unknown;50;51.1;80;0
5340631;Unknown;50;51.6;80;0
5340733;Unknown;50;52.1;80;0
5340835;Unknown;50;52.883;80;0
5340937;Unknown;50;53.761;80;0
5341039;Unknown;50;54.361;80;0
5341141;Unknown;50;54.961;80;0
5341243;Unknown;50;55.561;80;0
5341345;Unknown;50;56.426;80;0
5341447;Unknown;50;57.369;80;0
5341549;Unknown;50;58.418;80;0
5341651;Unknown;50;59.284;80;0
5341725;Stop;50;59.984;80;0
5341753;Unknown;50;59.984;80;0
5341855;Unknown;50;61.096;80;0
5341908;Unknown;50;62.081;80;0
5342161;Unknown;50;62.932;80;0
5342211;Unknown;50;63.532;80;0
5342313;Unknown;50;64.246;80;0
5342326;MoveRight;50;65.276;80;0
5342415;Unknown;50;65.276;80;0
5342517;Unknown;50;65.676;80;0
5342619;Unknown;50;65.976;80;0
5342722;Unknown;50;66.276;80;0
5342834;Unknown;50;66.576;80;0
5342926;Unknown;50.134;66.845;80;0
5343031;Unknown;49.919;67.125;80;0
5343129;Unknown;50.298;67.252;80;0
5343231;Unknown;50.678;67.378;80;0
5343326;Stop;51.163;67.499;80;0
5343333;Unknown;51.163;67.499;80;0
5343435;Unknown;51.719;67.882;80;0
5343537;Unknown;52.219;67.882;80;0
5343639;Unknown;52.719;67.882;80;0
5343741;Unknown;53.219;67.882;80;0
5343843;Unknown;53.719;67.882;80;0
5343945;Unknown;54.119;67.882;80;0
5344048;Unknown;54.519;67.882;80;0
5344127;MoveBackward;54.819;67.882;80;0
5344149;Unknown;54.819;67.882;80;0
5344251;Unknown;55.119;67.882;80;0
5344763;Unknown;55.419;67.882;80;0
5344867;Unknown;55.538;67.338;80;0
5344967;Unknown;55.665;66.958;80;0
5345128;Stop;55.665;66.658;80;0
5345173;Unknown;55.665;66.658;80;0
5345271;Unknown;55.665;65.885;80;0
5345373;Unknown;55.288;65.205;80;0
5345475;Unknown;55.288;64.705;80;0
5345583;Unknown;55.288;63.91;80;0
5345679;Unknown;55.288;63.14;80;0
5345731;Unknown;55.288;62.48;80;0
5345832;Unknown;55.288;62.08;80;0
5345928;MoveRight;55.288;61.334;80;0
5345937;Unknown;55.288;61.334;80;0
5346042;Unknown;55.288;61.034;80;0
5346138;Unknown;55.288;60.734;80;0
5346444;Unknown;55.288;60.434;80;0
5346549;Unknown;55.556;60.299;80;0
5346650;Unknown;55.825;60.165;80;0
5346751;Unknown;56.204;60.039;80;0
5346852;Unknown;56.689;59.917;70;0
5346959;Unknown;57.089;59.917;70;0
5347058;Unknown;57.589;59.917;70;0
5347129;Stop;58.089;59.917;70;0
5347165;Unknown;58.089;59.917;70;0
5347262;Unknown;58.589;59.917;70;0
5347363;Unknown;59.189;59.917;70;0
5347465;Unknown;59.689;59.917;70;0
5347577;Unknown;60.189;59.917;70;0
5347669;Unknown;60.589;59.917;70;0
5347730;MoveBackward;60.989;59.917;70;0
5347771;Unknown;60.989;59.917;70;0
5347873;Unknown;61.289;59.917;70;0
5347974;Unknown;61.589;59.917;70;0
5348178;Unknown;61.889;59.917;80;0
5348280;Unknown;62.158;59.783;80;0
5348382;Unknown;62.292;59.515;80;0
5348488;Unknown;62.418;59.135;80;0
5348586;Unknown;62.545;58.756;80;0
5348688;Unknown;62.666;58.271;80;0
5348791;Unknown;62.666;57.585;80;0
5348892;Unknown;62.666;56.612;80;0
5348930;Stop;62.666;56.112;80;0
5348994;Unknown;62.666;56.112;80;0
5349108;Unknown;62.666;55.612;80;0
5349198;Unknown;62.666;55.012;80;0
5349300;Unknown;62.666;54.115;80;0
5349331;MoveLeft;62.666;53.268;80;0
5349412;Unknown;62.666;53.268;80;0
5349504;Unknown;62.666;52.432;80;0
5349610;Unknown;62.666;52.032;80;0
5349717;Unknown;62.666;51.632;80;0
5349811;Unknown;62.666;51.332;80;0
5349915;Unknown;62.54;50.952;80;0
5349963;Unknown;62.257;50.669;80;0
5350168;Unknown;61.841;50.392;80;0
5350270;Unknown;61.356;50.271;80;0
5350372;Unknown;60.871;50.15;80;0
5350475;Unknown;60.371;50.15;80;0
5350575;Unknown;59.871;50.15;80;0
5350677;Unknown;59.271;50.15;80;0
5350732;Stop;58.375;50.15;80;0
5350783;Unknown;58.375;50.15;80;0
5350882;Unknown;57.457;50.15;80;0
5350983;Unknown;56.857;50.15;80;0
5351187;Unknown;55.91;50.15;80;0
5351289;Unknown;55.123;50.15;80;0
5351393;Unknown;54.327;50.15;80;0
5351494;Unknown;53.927;50.15;80;0
5351595;Unknown;53.527;50.15;80;0
5351697;Unknown;52.904;50.15;80;0
5352207;Unknown;52.604;50.15;80;0
5352734;Land;52.198;50.15;80;0
5355727;Unknown;52.198;50.15;0;359
5356136;StopRrNavigationRecording;52.217;49.079;0;0
