time;input;xPos;yPos;zPos;Bearing
1318378;TakeOff;50;50;0;0
1318793;Unknown;50;50;0;0
1320374;Unknown;50;50;90;2
1320680;Unknown;50;50;90;2
1320884;Unknown;50;50;90;2
1320987;Unknown;50;50;90;2
1321598;Unknown;49;50;100;2
1326983;MoveForward;49;50;120;2
1329466;Unknown;49;50;120;2
1329555;Unknown;49;50;120;2
1329658;Unknown;49;50;120;2
1329761;Unknown;49;51;120;2
1329863;Unknown;49;51;120;2
1329914;Unknown;49;51;120;2
1329985;Stop;49;51;120;2
1330018;Unknown;49;51;120;2
1330116;Unknown;49;52;120;2
1330218;Unknown;49;52;120;2
1330319;Unknown;49;52;120;2
1330421;Unknown;49;53;120;2
1330523;Unknown;49;53;120;2
1330625;Unknown;49;53;120;2
1330727;Unknown;49;53;120;2
1330829;Unknown;49;54;120;2
1330931;Unknown;49;54;120;2
1331033;Unknown;49;54;120;2
1331186;Land;49;54;120;2
1331238;Unknown;49;54;120;2
1331441;Unknown;49;54;120;2
1331955;Unknown;49;55;120;2
1333889;Unknown;49;55;40;2
1334654;Unknown;49;55;30;1
1334858;Unknown;49;55;40;1
1334960;Unknown;49;55;40;1
1335164;Unknown;48;55;40;1
1335188;StopRecordRepeatNavigationRecording;48;55;40;1
