time;input;xPos;yPos;zPos;Bearing
4526854;Connect;50;50;0;0
4527297;StartRrNavigation;50;50;0;0
4528097;TakeOff;50;50;0;0
4537103;MoveForward;50;50;60;0
4538881;Unknown;50;50;60;0
4538982;Unknown;50;50.3;60;0
4539084;Unknown;50;50.6;60;0
4539185;Unknown;50;51;60;0
4539288;Unknown;50;51.4;60;0
4539390;Unknown;50;52.155;60;0
4539492;Unknown;50;52.655;60;0
4539594;Unknown;50;53.155;60;0
4539696;Unknown;50;53.755;60;0
4539798;Unknown;50;54.63;60;0
4539901;Unknown;50;55.485;60;0
4540107;Unknown;50;56.085;60;0
4540205;Unknown;50;57.029;60;0
4540309;Unknown;50;57.893;60;0
4540409;Unknown;50;58.864;60;0
4540511;Unknown;50;59.834;60;0
4540613;Unknown;50;60.829;60;0
4540715;Unknown;50;61.835;60;0
4540817;Unknown;50;63.005;60;0
4540919;Unknown;50;64.164;60;0
4541106;Stop;50;65.19;60;0
4541124;Unknown;50;65.19;60;0
4541235;Unknown;50;66.329;60;0
4541327;Unknown;49.552;67.568;60;0
4541429;Unknown;49.552;68.692;60;0
4541480;Unknown;49.552;69.629;60;0
4541582;Unknown;49.552;70.412;60;0
4541684;Unknown;49.552;71.32;60;0
4541707;MoveRight;49.552;71.82;60;0
4541837;Unknown;49.552;71.82;60;0
4541940;Unknown;49.552;72.22;60;0
4541991;Unknown;49.552;72.52;60;0
4542196;Unknown;49.552;72.963;60;0
4542299;Unknown;49.835;73.246;60;0
4542399;Unknown;50.104;73.769;60;0
4542500;Unknown;50.484;73.896;60;0
4542602;Unknown;50.969;74.017;60;0
4542704;Unknown;51.454;74.138;60;0
4542708;Stop;51.954;74.138;60;0
4542807;Unknown;51.954;74.138;60;0
4542908;Unknown;52.454;74.138;60;0
4543011;Unknown;52.954;74.138;60;0
4543112;Unknown;53.454;74.138;60;0
4543214;Unknown;53.854;74.138;60;0
4543316;Unknown;54.254;74.138;60;0
4543418;Unknown;54.554;74.138;60;0
4543508;MoveBackward;54.854;74.138;60;0
4543523;Unknown;54.854;74.138;60;0
4544132;Unknown;55.154;74.138;60;0
4544235;Unknown;55.273;73.588;60;0
4544336;Unknown;55.399;73.209;60;0
4544439;Unknown;55.526;72.829;60;0
4544509;Stop;55.526;72.429;60;0
4544540;Unknown;55.526;72.429;60;0
4544642;Unknown;55.102;71.869;60;0
4544746;Unknown;55.102;71.369;60;0
4544846;Unknown;55.102;70.869;60;0
4544948;Unknown;55.102;70.009;60;0
4545152;Unknown;55.102;69.282;60;0
4545254;Unknown;55.102;68.982;60;0
4545310;MoveRight;55.102;68.682;60;0
4545356;Unknown;55.102;68.682;60;0
4545509;Unknown;55.102;68.382;60;0
4545815;Unknown;55.102;68.034;60;0
4545918;Unknown;55.37;67.9;60;0
4546019;Unknown;55.638;67.766;60;0
4546121;Unknown;56.018;67.64;60;0
4546223;Unknown;56.397;67.513;60;0
4546325;Unknown;56.797;67.513;60;0
4546429;Unknown;57.197;67.513;60;0
4546531;Unknown;57.697;67.513;60;0
4546633;Unknown;58.197;67.513;60;0
4546711;Stop;58.697;67.513;60;0
4546734;Unknown;58.697;67.513;60;0
4546836;Unknown;59.297;67.513;60;0
4546938;Unknown;59.897;67.513;60;0
4547040;Unknown;60.497;67.513;60;0
4547142;Unknown;61.097;67.513;60;0
4547244;Unknown;61.77;67.17;60;0
4547312;MoveBackward;62.17;67.17;60;0
4547346;Unknown;62.17;67.17;60;0
4547448;Unknown;62.57;67.17;70;0
4547551;Unknown;62.87;67.17;60;0
4547652;Unknown;63.17;67.17;60;0
4547755;Unknown;63.45;66.798;60;0
4547856;Unknown;63.718;66.664;60;0
4547959;Unknown;64.001;66.381;60;0
4548060;Unknown;64.135;66.113;60;0
4548164;Unknown;64.262;65.734;60;0
4548265;Unknown;64.383;65.249;60;0
4548368;Unknown;64.504;64.763;60;0
4548469;Unknown;64.504;64.363;60;0
4548513;Stop;64.504;63.571;60;0
4548574;Unknown;64.504;63.571;60;0
4548672;Unknown;64.504;62.651;60;0
4548775;Unknown;64.504;61.768;60;0
4548876;Unknown;64.504;60.908;60;0
4548913;MoveLeft;64.504;60.408;60;0
4548978;Unknown;64.504;60.408;60;0
4549182;Unknown;64.504;59.559;60;0
4549233;Unknown;64.504;59.159;60;0
4549335;Unknown;64.504;58.859;60;0
4549437;Unknown;64.504;58.294;60;0
4549539;Unknown;64.37;58.026;60;0
4549641;Unknown;64.087;57.743;60;0
4549743;Unknown;63.671;57.465;60;0
4549845;Unknown;62.923;57.352;60;0
4549947;Unknown;62.438;57.23;60;0
4550151;Unknown;61.849;57.113;60;0
4550253;Unknown;61.064;57.113;60;0
4550314;Stop;60.107;57.113;60;0
4550355;Unknown;60.107;57.113;60;0
4550457;Unknown;59.15;57.113;60;0
4550559;Unknown;58.274;57.113;60;0
4550661;Unknown;57.674;57.113;60;0
4550763;Unknown;57.074;57.113;60;0
4550865;Unknown;56.268;57.113;60;0
4550967;Unknown;55.768;57.113;60;0
4551069;Unknown;55.368;57.113;60;0
4551171;Unknown;54.968;57.113;60;0
4551273;Unknown;54.393;57.113;60;0
4551579;Unknown;54.093;57.113;60;0
4551987;Unknown;53.607;57.113;50;0
4552315;Land;53.478;56.782;50;0
4555812;CompleteRrNavigation;53.478;56.782;0;1
