time;input;xPos;yPos;zPos;Bearing
1604986;Connect;50;50;0;0
1605807;StartRrNavigation;50;50;0;0
1606607;TakeOff;50;50;0;0
1607242;Unknown;50;50;0;0
1607548;Unknown;50;49.745;10;0
1609639;Unknown;50;50.082;80;0
1609741;Unknown;50;50.357;80;0
1611934;Unknown;50;50.643;100;0
1612240;Unknown;50;51.147;100;0
1615621;MoveForward;49.704;51.147;80;0
1617553;Unknown;49.704;51.147;80;0
1617647;Unknown;49.704;51.447;80;0
1617749;Unknown;49.704;52.02;80;0
1617850;Unknown;49.704;52.707;80;0
1617953;Unknown;49.704;53.38;80;0
1618055;Unknown;49.704;53.78;80;0
1618156;Unknown;49.704;54.28;80;0
1618258;Unknown;49.704;54.88;80;0
1618361;Unknown;49.704;55.48;80;0
1618472;Unknown;49.704;56.458;80;0
1618564;Unknown;49.308;57.261;80;0
1618667;Unknown;49.308;58.208;80;0
1618768;Unknown;48.89;59.356;80;0
1618870;Unknown;48.89;59.956;80;0
1618973;Unknown;48.525;60.752;80;0
1619176;Unknown;48.525;61.352;80;0
1619278;Unknown;48.525;61.952;80;0
1619380;Unknown;48.525;62.94;80;0
1619381;AbortRrNavigation;48.172;64.521;80;0
