time;input;xPos;yPos;zPos;Bearing
4550081;Connect;50;50;0;0
4550936;StartRrNavigation;50;50;0;0
4551936;TakeOff;50;50;0;0
4554599;Unknown;50;50;80;0
4600940;MoveForward;50;50.255;100;0
4602555;Unknown;50;50.255;100;0
4602658;Unknown;50;50.555;100;0
4602760;Unknown;50;50.855;100;0
4602862;Unknown;50;51.255;100;0
4602964;Unknown;50;51.655;100;0
4603066;Unknown;50;52.155;100;0
4603116;Unknown;50;52.655;100;0
4603219;Unknown;50;53.155;100;0
4603381;Unknown;50;53.755;100;0
4603422;Unknown;50;54.355;100;0
4603524;Unknown;50;54.955;100;0
4603626;Unknown;50;55.871;100;0
4603728;Unknown;50;56.471;100;0
4603830;Unknown;50;57.449;100;0
4603932;Unknown;50;58.049;100;0
4604137;Unknown;50;59.024;100;0
4604238;Unknown;50;59.979;100;0
4604420;Unknown;50;60.934;100;0
4604442;Unknown;49.347;61.905;100;0
4604544;Unknown;49.347;62.605;100;0
4604646;Unknown;49.347;63.305;100;0
4604744;Stop;49.347;64.291;100;0
4604748;Unknown;49.347;64.291;100;0
4604850;Unknown;49.347;65.297;100;0
4604952;Unknown;49.347;66.262;100;0
4605054;Unknown;49.347;67.268;100;0
4605156;Unknown;49.347;67.868;100;0
4605259;Unknown;49.347;68.876;100;0
4605344;MoveRight;48.942;69.561;100;0
4605361;Unknown;48.942;69.561;100;0
4605463;Unknown;48.942;70.061;100;0
4605564;Unknown;48.942;70.461;100;0
4605669;Unknown;48.942;70.861;100;0
4605871;Unknown;48.942;71.161;90;0
4605973;Unknown;49.076;71.429;90;0
4606074;Unknown;49.344;71.564;90;0
4606176;Unknown;49.724;71.69;90;0
4606278;Unknown;50.103;71.817;90;0
4606345;Stop;50.503;71.817;90;0
4606380;Unknown;50.503;71.817;90;0
4606482;Unknown;50.903;71.817;90;0
4606584;Unknown;51.403;71.817;90;0
4606686;Unknown;51.903;71.817;100;0
4606809;Unknown;52.403;71.817;90;0
4606891;Unknown;52.903;71.817;100;0
4606992;Unknown;53.303;71.817;90;0
4607095;Unknown;53.703;71.817;100;0
4607145;Unknown;54.003;71.817;100;0
4607146;MoveBackward;54.303;71.817;100;0
4607248;Unknown;54.303;71.817;100;0
4607893;Unknown;54.603;71.817;100;0
4607894;Unknown;54.738;71.548;100;0
4607962;Unknown;54.864;71.169;100;0
4608165;Unknown;54.864;70.769;100;0
4608268;Unknown;54.864;70.269;100;0
4608346;Stop;54.864;69.46;100;0
4608370;Unknown;54.864;69.46;100;0
4608471;Unknown;54.864;68.572;100;0
4608574;Unknown;54.488;67.774;100;0
4608676;Unknown;54.488;66.823;100;0
4608778;Unknown;54.488;65.948;100;0
4608880;Unknown;54.488;65.173;100;0
4608982;Unknown;54.488;64.673;100;0
4609084;Unknown;54.488;63.875;100;0
4609147;MoveRight;54.488;63.475;90;0
4609186;Unknown;54.488;63.475;90;0
4609288;Unknown;54.488;63.175;90;0
4609390;Unknown;54.488;62.875;90;0
4609696;Unknown;54.488;62.575;90;0
4609798;Unknown;54.756;62.44;90;0
4609901;Unknown;55.025;62.306;90;0
4610003;Unknown;55.404;62.18;90;0
4610106;Unknown;55.889;62.059;90;0
4610208;Unknown;56.289;62.059;90;0
4610311;Unknown;56.789;62.059;90;0
4610347;Stop;57.289;62.059;90;0
4610413;Unknown;57.289;62.059;90;0
4610515;Unknown;57.789;62.059;90;0
4610618;Unknown;58.289;62.059;100;0
4610717;Unknown;58.789;62.059;100;0
4610818;Unknown;59.544;62.059;100;0
4610920;Unknown;59.944;62.059;100;0
4610948;MoveBackward;60.344;62.059;100;0
4611022;Unknown;60.344;62.059;100;0
4611074;Unknown;60.644;62.059;100;0
4611175;Unknown;60.944;62.059;100;0
4611277;Unknown;61.244;62.059;100;0
4611379;Unknown;61.523;61.661;100;0
4611485;Unknown;61.791;61.527;100;0
4611599;Unknown;61.925;61.258;100;0
4611685;Unknown;62.052;60.879;100;0
4611787;Unknown;62.178;60.499;100;0
4611889;Unknown;62.3;60.014;100;0
4611991;Unknown;62.3;59.339;100;0
4612149;Stop;62.3;58.839;100;0
4612235;Unknown;62.3;58.839;100;0
4612313;Unknown;62.3;57.919;100;0
4612399;Unknown;62.3;57.319;100;0
4612598;Unknown;62.3;56.401;100;0
4612604;Unknown;62.3;55.364;100;0
4612705;Unknown;62.3;54.849;100;0
4612749;MoveLeft;62.3;54.449;100;0
4612807;Unknown;62.3;54.449;100;0
4612909;Unknown;62.3;53.794;100;0
